event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00001,C0488,,8/9/2024 3:25,eta_refresh,S19847,Android,north,301,1
AE00002,C0595,O00950,2/13/2024 22:29,search_route,S32766,Android,SOUTH,60,1
AE00003,C0494,O00170,8/11/2025 9:29,chat_opened,S99516,iOS,Airport,1118,1
AE00004,C0407,O00756,8/23/2025 17:38,eta_refresh,S41236,iOS,CENTRAL,442,1
AE00005,C0506,,5/29/2024 10:33,search_route,S12030,iOS,north,60,1
AE00006,C0498,O01196,2/8/2025 9:50,track_order,S66655,Web,West,499,1
AE00007,C0033,O00028,4/20/2025 19:06,chat_opened,S79495,Android,South,169,1
AE00008,C0091,O00076,8/18/2024 2:08,search_route,S59028,Android,Ctr,431,1
AE00009,C0421,O01222,7/20/2025 11:46,eta_refresh,S76526,Web,North,609,1
AE00010,C0553,O00854,7/10/2024 13:11,chat_opened,S24618,Android,WEST,167,1
AE00011,C0643,O00192,5/10/2025 11:23,delivery_instruction_update,S22799,iOS,Ctr,182,1
AE00012,C0095,O01080,12/10/2025 19:11,chat_escalated,S57519,Android,Ctr,60,1
AE00013,C0479,O00414,5/28/2024 15:11,chat_escalated,S37114,Web,WEST,399,0
AE00014,C0626,O01054,4/4/2025 13:19,track_order,S75243,Android,AIRPORT,998,1
AE00015,C0014,O00860,8/16/2024 15:27,chat_opened,S71663,Android,WEST,238,1
AE00016,C0506,,1/13/2024 6:22,search_route,S47757,iOS,RiverSide,536,1
AE00017,C0170,O00424,4/4/2024 6:22,chat_escalated,S30048,Android,North,624,0
AE00018,C0530,O00295,11/12/2025 8:58,delivery_instruction_update,S76990,Android,NORTH,626,1
AE00019,C0179,O00628,3/31/2025 17:14,track_order,S88326,Android,South,707,1
AE00020,C0116,O01065,10/25/2025 19:05,chat_opened,S81897,Android,NORTH,196,1
AE00021,C0317,,9/22/2025 5:58,search_route,S89590,Android,Ctr,494,1
AE00022,C0188,O00844,3/28/2024 22:47,delivery_instruction_update,S29750,iOS,South,760,1
AE00023,C0543,O00854,10/16/2024 14:48,chat_opened,S76975,iOS,north,644,1
AE00024,C0022,O01082,3/11/2024 19:51,track_order,S59171,Android,EAST,60,1
AE00025,C0486,,6/27/2025 22:42,track_order,S29906,iOS,North,350,1
AE00026,C0490,O00330,11/16/2024 23:54,eta_refresh,S93151,Android,NORTH,388,1
AE00027,C0574,O00077,5/12/2024 6:04,delivery_instruction_update,S14580,iOS,Riverside,886,1
AE00028,C0166,,9/27/2024 0:44,track_order,S26243,Android,South,570,1
AE00029,C0367,,3/27/2024 16:30,payment_retry,S27022,Android,EAST,435,1
AE00030,C0455,O00229,6/7/2025 2:10,chat_opened,S74816,iOS,West,403,1
AE00031,C0241,O01158,6/9/2024 5:13,track_order,S52070,iOS,Airport,1660,1
AE00032,C0226,O00402,9/20/2025 0:20,search_route,S18892,Android,EAST,632,1
AE00033,C0587,O00742,1/3/2025 9:32,track_order,S56165,Android,north,520,1
AE00034,C0245,,8/21/2025 8:08,search_route,S39479,Android,CENTRAL,510,1
AE00035,C0017,,10/8/2025 17:17,payment_retry,S20798,iOS,SOUTH,60,1
AE00036,C0007,O00977,5/3/2025 17:47,chat_escalated,S19561,iOS,Ctr,362,0
AE00037,C0160,,8/26/2025 22:16,chat_opened,S73982,Android,East,458,1
AE00038,C0166,O00475,9/25/2025 11:47,eta_refresh,S10481,iOS,WEST,324,1
AE00039,C0274,,1/9/2024 23:40,payment_retry,S24754,iOS,Ctr,528,1
AE00040,C0532,O01015,11/17/2025 9:32,search_route,S82851,iOS,WEST,724,1
AE00041,C0075,O00349,5/24/2025 4:19,track_order,S44614,Android,Riverside,670,1
AE00042,C0409,O00044,9/18/2024 7:02,search_route,S80779,iOS,north,524,1
AE00043,C0200,O00954,11/27/2024 18:10,eta_refresh,S78974,Android,WEST,287,1
AE00044,C0633,O01022,6/4/2025 17:13,search_route,S44218,Android,CENTRAL,588,1
AE00045,C0163,O00696,10/9/2024 22:04,payment_retry,S76855,iOS,Airport,555,1
AE00046,C0531,O00016,10/30/2024 13:13,search_route,S55883,Web,WEST,326,1
AE00047,C0063,O00159,9/18/2024 14:52,track_order,S29662,iOS,East,344,1
AE00048,C0306,O01222,2/25/2025 4:16,chat_escalated,S77519,Android,RiverSide,166,0
AE00049,C0381,O01086,11/11/2025 17:22,chat_opened,S99244,Android,West,113,1
AE00050,C0114,,1/5/2024 23:16,track_order,S64182,Android,North,545,1
AE00051,C0080,O00512,10/18/2025 21:50,eta_refresh,S35136,Android,Ctr,473,1
AE00052,C0326,O01080,2/12/2024 2:37,payment_retry,S42021,Android,north,570,0
AE00053,C0349,O00467,11/28/2024 23:28,delivery_instruction_update,S83805,iOS,South,255,1
AE00054,C0138,O00189,5/1/2025 2:00,search_route,S82990,iOS,South,73,1
AE00055,C0120,O00922,9/29/2024 23:08,track_order,S55056,iOS,AIRPORT,800,1
AE00056,C0556,O01180,9/23/2025 17:24,payment_retry,S77071,Android,north,592,0
AE00057,C0266,O00600,11/3/2025 13:54,track_order,S51373,Android,East,585,1
AE00058,C0187,,8/26/2025 16:54,search_route,S24062,iOS,AIRPORT,207,1
AE00059,C0613,,12/30/2024 21:49,delivery_instruction_update,S18202,Android,East,327,1
AE00060,C0490,O00551,9/14/2025 12:20,search_route,S69751,iOS,Central,270,1
AE00061,C0551,O01205,3/31/2025 9:18,track_order,S46023,iOS,Airport,418,1
AE00062,C0116,O01105,1/29/2024 7:08,track_order,S57220,Android,Riverside,838,1
AE00063,C0549,O00656,11/6/2024 15:04,delivery_instruction_update,S42721,Android,East,274,1
AE00064,C0515,O00032,9/16/2024 15:36,track_order,S99350,Android,Central,840,1
AE00065,C0127,O01042,4/3/2024 4:07,delivery_instruction_update,S23520,Android,East,287,1
AE00066,C0612,,5/19/2025 7:41,payment_retry,S90136,Android,RiverSide,60,0
AE00067,C0113,O00822,4/28/2025 1:07,eta_refresh,S57776,Android,North,594,1
AE00068,C0130,O00096,4/6/2024 13:41,chat_opened,S29137,Android,Ctr,60,1
AE00069,C0303,,2/13/2025 15:13,payment_retry,S60656,Android,South,637,0
AE00070,C0063,O00689,6/11/2025 6:37,chat_opened,S88132,iOS,CENTRAL,477,1
AE00071,C0565,O01092,10/11/2024 6:33,chat_opened,S38006,iOS,EAST,300,1
AE00072,C0006,O00802,11/10/2025 23:09,track_order,S37414,Android,Ctr,155,1
AE00073,C0521,,8/20/2025 22:37,cancel_attempt,S18062,Web,AIRPORT,392,1
AE00074,C0522,,4/13/2025 0:33,chat_opened,S11111,iOS,Airport,347,1
AE00075,C0439,O00245,9/22/2024 13:20,delivery_instruction_update,S47526,iOS,AIRPORT,463,1
AE00076,C0221,O01006,4/19/2025 7:46,delivery_instruction_update,S50746,Android,EAST,1005,1
AE00077,C0549,O01026,6/12/2024 20:18,search_route,S59198,iOS,East,546,1
AE00078,C0328,,4/30/2025 19:26,eta_refresh,S67487,Android,AIRPORT,853,1
AE00079,C0371,O00950,2/28/2025 12:58,delivery_instruction_update,S75895,iOS,RiverSide,646,1
AE00080,C0181,O00757,1/8/2024 1:12,search_route,S51497,Android,SOUTH,783,1
AE00081,C0182,O00976,5/14/2024 22:41,track_order,S96252,Android,WEST,422,1
AE00082,C0231,O00506,12/3/2025 0:20,search_route,S46240,iOS,East,60,1
AE00083,C0215,O00602,9/12/2024 22:25,track_order,S29184,iOS,East,265,1
AE00084,C0021,O01124,2/22/2024 2:18,delivery_instruction_update,S65491,iOS,South,688,1
AE00085,C0634,O01212,3/20/2024 7:47,delivery_instruction_update,S30667,Android,Airport,843,1
AE00086,C0256,,3/16/2024 1:54,search_route,S82272,iOS,South,813,1
AE00087,C0218,O00386,6/27/2024 1:58,search_route,S21479,Android,RiverSide,401,1
AE00088,C0157,,6/12/2024 21:08,chat_opened,S21347,Android,NORTH,561,1
AE00089,C0637,O00619,1/2/2024 17:18,search_route,S54109,Web,north,60,1
AE00090,C0044,O00078,7/17/2025 23:08,payment_retry,S76455,Android,north,820,1
AE00091,C0204,O00772,12/6/2025 6:51,chat_escalated,S24981,iOS,East,610,1
AE00092,C0129,O00080,4/22/2025 23:16,eta_refresh,S30798,Android,Ctr,522,1
AE00093,C0025,O00405,2/13/2024 15:40,payment_retry,S57429,iOS,EAST,440,1
AE00094,C0010,,8/1/2025 11:56,track_order,S78031,iOS,South,573,1
AE00095,C0428,O01057,5/16/2025 1:12,delivery_instruction_update,S81735,Web,WEST,399,1
AE00096,C0424,O00426,2/7/2025 0:14,track_order,S50881,Web,East,562,1
AE00097,C0468,O00460,6/10/2025 4:05,payment_retry,S77602,Android,Riverside,404,0
AE00098,C0101,,1/31/2025 14:10,chat_escalated,S89859,iOS,RiverSide,401,1
AE00099,C0095,O00709,4/25/2024 0:36,payment_retry,S33955,Android,RiverSide,138,1
AE00100,C0312,,5/29/2024 17:36,chat_escalated,S86296,Android,Airport,137,0
AE00101,C0149,,8/8/2025 19:08,cancel_attempt,S34862,Web,Central,618,1
AE00102,C0272,O01227,5/13/2025 9:40,chat_escalated,S62522,Android,East,982,1
AE00103,C0306,O00114,10/2/2025 10:34,payment_retry,S19712,Web,NORTH,551,1
AE00104,C0429,O00170,3/19/2024 16:37,chat_opened,S25315,Android,RiverSide,649,1
AE00105,C0540,O00428,5/28/2024 5:14,cancel_attempt,S64900,iOS,Riverside,153,1
AE00106,C0360,O01144,1/25/2025 13:47,search_route,S96181,Android,South,216,1
AE00107,C0081,O00858,1/24/2024 3:08,chat_escalated,S34476,Android,North,449,0
AE00108,C0307,,11/27/2024 16:15,eta_refresh,S13993,Web,Ctr,1285,1
AE00109,C0114,O00393,7/17/2024 12:02,eta_refresh,S22089,Android,AIRPORT,533,1
AE00110,C0382,O00099,7/3/2024 2:04,delivery_instruction_update,S87255,Web,Ctr,209,1
AE00111,C0565,O00055,2/6/2025 3:15,cancel_attempt,S80723,Android,RiverSide,219,1
AE00112,C0259,O00051,4/24/2025 8:45,search_route,S67232,Android,CENTRAL,602,1
AE00113,C0540,O01132,2/27/2024 18:25,search_route,S21806,Android,WEST,510,1
AE00114,C0135,O00217,6/2/2025 18:48,eta_refresh,S46677,iOS,WEST,464,1
AE00115,C0012,O00781,12/29/2025 23:12,track_order,S41963,iOS,north,546,1
AE00116,C0237,O00033,7/16/2024 5:19,eta_refresh,S56150,iOS,Ctr,422,1
AE00117,C0122,O00043,4/11/2024 11:39,track_order,S18818,Android,north,387,1
AE00118,C0459,O00059,7/12/2024 20:41,track_order,S52877,Android,NORTH,629,1
AE00119,C0153,O00021,1/13/2024 16:25,track_order,S89481,Web,north,628,1
